name,lat,lon
Seberang Gateway Cicadas,-6.9073358,107.6459615
BCA Cimuncang,-6.9061022,107.6483487
Jalaprang,-6.8982766,107.6321152
Griya Kiaracondong,-6.922166,107.644463
Segitiga Mas,-6.9178881,107.6258492
Terminal Angkot Cicaheum,-6.9024362,107.6562115
Seberang Griya Kiaracondong,-6.9220974,107.6442589
SMKN 9 Bandung,-6.9404659,107.6568963
Kebon Waru,-6.9145037,107.6382039
MUJ Jalan Banten,-6.914282,107.6399073
Daese Garmin,-6.9194503,107.6440979
Flyover Antapani,-6.9139486,107.6429873
Poltekpar NHI,-6.868262,107.5937728
SMK Negeri 12 Bandung,-6.9070245,107.592526
Padjajaran 2,-6.9069702,107.5941122
Sukamanah,-6.9196251,107.5937395
Simpang Otista Astana Anyar,-6.93537,107.6032818
Taman Tegallega,-6.934006,107.6033297
Seberang Museum Sri Baduga,-6.9372643,107.6039406
Muhammad Toha 1 (PT INTI A),-6.9390173,107.6063452
TK Kemala Bhayangkari,-6.9454217,107.6083271
Taman Buah Batu,-6.9484506,107.6339645
Bundaran Cibiru,-6.9353841,107.7175884
FTI ITB,-6.888821,107.6081209
BATAN,-6.8888321,107.6080726
Sangkuriang,-6.884347,107.611575
STMIK LIKMI,-6.8955412,107.6129933
Kartikasari B,-6.8975176,107.6129141
La Belle Cikapayang,-6.8995138,107.6126412
Superindo Dago,-6.9018271,107.6119221
Seberang Superindo Dago,-6.9017456,107.6117925
Bandros Alun-alun,-6.9224368,107.6072114
Simpang Gedebage,-6.9372789,107.6915537
Simpang Surya Sumantri Pasteur,-6.8915583,107.581272
SDN Pajajaran,-6.906799,107.6000469
Kimia Farma Cicendo,-6.9078665,107.6045445
Pajajaran Timur,-6.907241,107.6051423
Stasiun Bandung,-6.9126596,107.6029202
GOR KONI,-6.914741,107.6362581
IBCC,-6.9143539,107.6328349
Jalan Bengawan,-6.9140157,107.6331754
Jalan Mangga,-6.9150747,107.6310523
Jembar Awi Bitung,-6.9106371,107.6395012
Simpang Cikaso - Bogor,-6.9118447,107.6372176
Simpang Laswi Gatot Subroto 2,-6.9236573,107.6278986
Simpang Laswi Gatot Subroto 1,-6.9235994,107.6282475
Jalan Kangkung,-6.9308256,107.6260305
Seberang Jalan Kangkung,-6.9308795,107.6262234
Patung Ikan,-6.9375753,107.610195
Taman Tegalega 3,-6.9365605,107.6062226
Pasar Tegalega,-6.9368521,107.6063222
Pintu Masuk Terminal Tegallega,-6.9338748,107.6023928
Muara,-6.9375749,107.5998468
Shuttle Summarecon Mall Bandung,-6.9553491,107.6966188
Pangkalan Angkot Bumi Panyileukan,-6.9466265,107.7128837
Taman Pramuka,-6.9106586,107.6275307
Dalem Kaum,-6.9219917,107.6040641
UNIKOM Pascasarjana,-6.8858245,107.6137732
Museum Kota Bandung,-6.9100874,107.609698
Stasiun Cimekar 2,-6.9482861,107.7099396
Seberang UNIKOM,-6.8873771,107.6151751
Jalan Ibu Inggit Garnasih,-6.9314493,107.6039255
Simpang Mohamad Toha Biddokkes,-6.9376268,107.6055045
Rumah Sakit Immanuel B,-6.9373737,107.5955215
Astana Anyar RSIA Kota Bandung,-6.9293733,107.600639
Hotel Grand Tebu,-6.9134182,107.6291595
Bandung Creative Hub A,-6.918349,107.6313724
Simpang By Pass Soekarno Hatta A,-6.9473658,107.6091213
GKI Anugerah,-6.9200655,107.59751
KEB Hana Bank,-6.920606,107.6020606
Mayapada Tower,-6.9193943,107.5917304
Toko Ambon,-6.9186691,107.5855174
Kemenag Kanwil Jabar,-6.9176446,107.5771095
