place_id,name,lat,lon,rating,total_reviews,category,types,nearest_stop,stop_lat,stop_lon
ChIJvTKmorzmaC4Rxb4Eg9dfcs8,Nuartha Tour and Event,-6.8814625,107.5788198,4.9,40,lainnya,"establishment,point_of_interest,travel_agency",Lemahneundeut,-6.8813132,107.5786866
ChIJfVqMgYPmaC4RY73kHT_Pve4,"MarkPlus, Inc",-6.8805592,107.5796518,4.7,21,lainnya,"establishment,point_of_interest",Lemahneundeut,-6.8813132,107.5786866
ChIJV5jNmIPmaC4RBFZ2BXgfEtk,Sekretariat Club Station Wil. Bojonagara YH1AVB,-6.8808889,107.578827,4.6,7,lainnya,"establishment,point_of_interest",Lemahneundeut,-6.8813132,107.5786866
ChIJBTYll5fmaC4RC_ql4i2SiGE,Sate Padang Pariaman 3 Putri,-6.8814137,107.5768159,4.0,18,katering,"establishment,food,point_of_interest,restaurant",Sarijadi,-6.8816157,107.5784171
ChIJGQAAwIDmaC4RO11X_rkIXKk,Domino's Pizza Surya Sumantri,-6.8823235,107.5813579,4.3,2118,katering,"establishment,food,meal_delivery,meal_takeaway,point_of_interest",Setrasari,-6.8821935,107.5815739
ChIJSbzATYTmaC4RPf8X7bMNbAI,Morning Glory Coffee Bandung Setrasari,-6.881501399999999,107.5825369,4.4,1369,katering,"cafe,establishment,food,point_of_interest,restaurant",Setrasari,-6.8821935,107.5815739
ChIJ18au1IXmaC4Rqpnx8GIbHm0,OYO 230 Maleo Residence,-6.8834369,107.58315,3.9,799,lainnya,"establishment,lodging,point_of_interest",Setrasari,-6.8821935,107.5815739
ChIJex__aoTmaC4RMnv4QJpZYlU,WPC Sumantri,-6.8821986,107.5813001,4.9,536,kesehatan,"beauty_salon,establishment,hair_care,health,point_of_interest",Setrasari,-6.8821935,107.5815739
ChIJ749SfFvmaC4RqQOgFQkkvms,Vio Hotel Cihampelas,-6.8984502,107.6043551,4.2,2060,lainnya,"establishment,lodging,point_of_interest",GKI Pasteur,-6.9001777,107.6027221
ChIJhwl2dETmaC4RLizmEYtU2zw,Angkasa Putra,-6.901164,107.604204,4.3,1496,komersial,"establishment,point_of_interest,store",GKI Pasteur,-6.9001777,107.6027221
ChIJN6Ci9EPmaC4RJpFSMNg6mdk,"Klinik Utama Rehabilitasi Medik ""SALUS MEDICA""",-6.9015076,107.603447,4.9,174,kesehatan,"establishment,health,point_of_interest",GKI Pasteur,-6.9001777,107.6027221
ChIJ--DFgjDmaC4REDgKhsSlKp4,Tirta Anugrah,-6.8982458,107.6107361,4.2,2263,lainnya,"establishment,point_of_interest",Tamansari Cikapayang,-6.8981855,107.6101358
ChIJXyKYd7vnaC4RH9HXOS4ddOs,YPKP Futsal,-6.899515,107.641247,4.2,1141,lainnya,"establishment,point_of_interest",Sekolah Pribadi,-6.8991824,107.6404694
ChIJN-fiaLznaC4RGanXWAfklAE,Universitas Sangga Buana YPKP,-6.899335000000001,107.640543,4.5,849,pendidikan,"establishment,point_of_interest,university",Sekolah Pribadi,-6.8991824,107.6404694
ChIJE8cey9nCaC4RbjVlgnYqMdE,Toyota Auto2000 Cibiru,-6.9361003,107.7110383,4.9,1769,komersial,"car_dealer,establishment,point_of_interest,store",Panyileukan,-6.9358084,107.7121641
ChIJERCDR9jCaC4RD90DFurBJLM,SPBU Pertamina CIBIRU BANDUNG,-6.9358422,107.7138008,4.5,1119,lainnya,"establishment,gas_station,point_of_interest",Panyileukan,-6.9358084,107.7121641
ChIJnXUSttnCaC4RUD4FuD0vVnc,Marwah Beauty Skin Clinic Panyileukan,-6.9359591,107.7128378,4.6,116,komersial,"establishment,point_of_interest,store",Panyileukan,-6.9358084,107.7121641
ChIJ7XGTtdnCaC4RlveV_baxzbo,PT. Noor Abika Tours & Travel,-6.9359134,107.7130331,4.8,61,lainnya,"establishment,point_of_interest,travel_agency",Panyileukan,-6.9358084,107.7121641
ChIJvUY8EdnCaC4RY_RBmpkWKU4,House Of Three Dee,-6.9381008,107.7122944,4.0,45,komersial,"clothing_store,establishment,point_of_interest,store",Panyileukan,-6.9358084,107.7121641
ChIJq4TJu5bnaC4R37Eo2pWjGeo,Biensi Fesyenindo Headquarter,-6.9386166,107.7063059,4.5,228,finansial,"establishment,finance,point_of_interest",Cimincrang,-6.9361993,107.7064259
ChIJaYqP2M_CaC4Rqd4ghzeTJZg,PT. UTC Aerospace Systems Bandung Operations,-6.9353883,107.7042673,4.6,191,lainnya,"establishment,point_of_interest",Cimincrang,-6.9361993,107.7064259
ChIJU8TptdnCaC4RFJy5GTo5Ar0,Soetta 750,-6.9363294,107.7065511,4.5,141,katering,"establishment,food,point_of_interest,restaurant",Cimincrang,-6.9361993,107.7064259
ChIJxWsol9vCaC4Rv6WbvfB3zcg,Klinik Utama Cipadung Medika,-6.93825,107.7071548,3.1,105,kesehatan,"establishment,health,point_of_interest",Cimincrang,-6.9361993,107.7064259
ChIJpX5Mj9rCaC4RAwVgiZbwaS0,Mie Ayam Pribumi,-6.935835,107.7067162,4.5,44,katering,"establishment,food,point_of_interest,restaurant",Cimincrang,-6.9361993,107.7064259
