edge_id,name,highway,lat,lon
25434517_25434520,Jalan Trunojoyo,tertiary,-6.904038500000001,107.6131403
25434517_25434520,Jalan Trunojoyo,tertiary,-6.904488089074478,107.61318049204195
25434517_25434520,Jalan Trunojoyo,tertiary,-6.904918077217292,107.61331385729568
25434517_25434520,Jalan Trunojoyo,tertiary,-6.90533043902902,107.61349839940098
25434520_1849525827,Jalan Bahureksa,tertiary,-6.905381800000001,107.6135246
25434520_1849525827,Jalan Bahureksa,tertiary,-6.905341671364376,107.61397494493295
25434520_1849525827,Jalan Bahureksa,tertiary,-6.905301542331088,107.61442528963079
25434520_1849525827,Jalan Bahureksa,tertiary,-6.905261412900117,107.6148756340935
25434520_1849525827,Jalan Bahureksa,tertiary,-6.905221283071485,107.61532597832107
25434520_1849525827,Jalan Bahureksa,tertiary,-6.905181152845218,107.61577632231344
25434520_25434517,Jalan Trunojoyo,tertiary,-6.905381800000001,107.6135246
25434520_25434517,Jalan Trunojoyo,tertiary,-6.904971338483521,107.61333593433764
25434520_25434517,Jalan Trunojoyo,tertiary,-6.904545131667195,107.61318873693807
25434520_25434517,Jalan Trunojoyo,tertiary,-6.904096116980131,107.61314225083456
25435152_1849960313,Jalan Cianjur,tertiary,-6.9170740000000075,107.6307277
25435152_1849960313,Jalan Cianjur,tertiary,-6.916862306405257,107.63112713934827
25435152_1849960313,Jalan Cianjur,tertiary,-6.916650504183656,107.63152652055673
25435152_1849960313,Jalan Cianjur,tertiary,-6.9164379436326895,107.63192549791951
25435152_1849960313,Jalan Cianjur,tertiary,-6.916226619985122,107.6323251009102
25435152_1849960313,Jalan Cianjur,tertiary,-6.916020958535058,107.63272752961242
25435152_1849960313,Jalan Cianjur,tertiary,-6.915861847750638,107.63314389549643
25435152_1849960313,Jalan Cianjur,tertiary,-6.915941538189676,107.63358812967326
25435152_1849960313,Jalan Cianjur,tertiary,-6.916037652181561,107.6340299159448
25435152_25432923,Jalan Laswi,primary,-6.9170740000000075,107.6307277
25435152_25432923,Jalan Laswi,primary,-6.917480159817554,107.63092577954643
25435152_25432923,Jalan Laswi,primary,-6.917887572355185,107.63112124717252
25435152_25432923,Jalan Laswi,primary,-6.91829611135662,107.63131436506357
25435162_7201253642,Jalan Malabar,tertiary,-6.921581499999992,107.6247143
25435162_7201253642,Jalan Malabar,tertiary,-6.921166252781142,107.6245727386324
25435162_7201253642,Jalan Malabar,tertiary,-6.920720231569099,107.62450047639314
25435162_7201253642,Jalan Malabar,tertiary,-6.920274211323963,107.6244282080378
25435162_7201253642,Jalan Malabar,tertiary,-6.919828192329147,107.62435593181488
25435162_7201253642,Jalan Malabar,tertiary,-6.919380556562124,107.62429482202039
25435162_7201253642,Jalan Malabar,tertiary,-6.91893237578928,107.62423747957163
25435162_6470450609,Jalan Malabar,tertiary,-6.921581499999992,107.6247143
25435162_6470450609,Jalan Malabar,tertiary,-6.922028374016867,107.62474413979497
25435162_6470450609,Jalan Malabar,tertiary,-6.922471505627804,107.62465773831532
25435162_6470450609,Jalan Malabar,tertiary,-6.922908826678998,107.62454408196827
25435162_6470450609,Jalan Malabar,tertiary,-6.923346155270849,107.62443045442362
25435163_7201253639,Jalan Jenderal Ahmad Yani,primary,-6.918876799999996,107.6241356
25435163_2325452463,Jalan Jenderal Ahmad Yani,primary,-6.918876799999996,107.6241356
