tas_nit_id,n_points,avg_distance_to_stop,min_distance_to_stop,max_distance_to_stop,nearest_stop_name,street_name,highway_type,center_lat,center_lon,walking_class
5447158315_5447158308_STOP716,9,128.03333333333333,20.1,282.9,SD Negeri 184 Buah Batu,Jalan Terusan Kiara Condong,primary,-6.950198032237375,107.64120448547845,Sangat Dekat (<200m)
5447158315_5447158308_STOP717,4,89.025,14.9,163.9,Tugu Pasar Kordon,Jalan Terusan Kiara Condong,primary,-6.953044363737347,107.6405147128765,Sangat Dekat (<200m)
5447158315_5447158421_STOP20,1,107.5,107.5,107.5,Simpang Soetta Kiaracondong,Jalan Terusan Kiara Condong,primary,-6.946177400000001,107.6418037,Sangat Dekat (<200m)
5447158318_8123304854_STOP36,1,104.9,104.9,104.9,Simpang Samsat Kiaracondong,Jalan Letnan Jenderal Ibrahim Adjie,primary,-6.945352499999998,107.6419307,Sangat Dekat (<200m)
5447158318_8390730117_STOP36,1,104.9,104.9,104.9,Simpang Samsat Kiaracondong,Jalan Soekarno-Hatta,trunk,-6.945352499999998,107.6419307,Sangat Dekat (<200m)
5447158320_8123304882_STOP20,5,68.34,22.4,132.1,Simpang Soetta Kiaracondong,Jalan Soekarno-Hatta,trunk,-6.945904506256875,107.64056726366498,Sangat Dekat (<200m)
5447158320_8123304882_STOP368,4,85.825,11.5,160.8,SPBU Simpang Buah Batu Soekarno Hatta,Jalan Soekarno-Hatta,trunk,-6.947278886113146,107.63602527960221,Sangat Dekat (<200m)
5447158320_8123304882_STOP458,3,53.03333333333333,21.8,92.6,Sekelimus 1,Jalan Soekarno-Hatta,trunk,-6.946411542109263,107.63883307904666,Sangat Dekat (<200m)
5447158320_8123304882_STOP459,3,68.3,18.4,118.4,Sekelimus Tengah,Jalan Soekarno-Hatta,trunk,-6.946817294620605,107.63753885279846,Sangat Dekat (<200m)
5447158320_8123304882_STOP460,2,35.5,19.2,51.8,Simpang Buah Batu Soekarno Hatta 1,Jalan Soekarno-Hatta,trunk,-6.947686657962069,107.63473166448262,Sangat Dekat (<200m)
5447158421_5447158320_STOP20,1,103.3,103.3,103.3,Simpang Soetta Kiaracondong,,trunk_link,-6.945915600000003,107.6417931,Sangat Dekat (<200m)
5447158421_8123304860_STOP20,1,103.3,103.3,103.3,Simpang Soetta Kiaracondong,Jalan Terusan Kiara Condong,primary,-6.945915600000003,107.6417931,Sangat Dekat (<200m)
5455661685_1390997943_STOP337,4,563.675,540.8,592.0,Karangsetra Waterland,Jalan Cipedes Atas,tertiary,-6.877024529704348,107.59060913728703,Sedang (400-800m)
5455661685_1390997943_STOP404,12,382.5,266.8,522.2,Simpang Gegerkalong Hilir,Jalan Cipedes Atas,tertiary,-6.872478477390047,107.59051610504257,Dekat (200-400m)
5455661685_1390997943_STOP479,2,573.55,561.1,586.0,SMPN 15 Bandung,Jalan Cipedes Atas,tertiary,-6.87523665300937,107.59068611918013,Sedang (400-800m)
5455661685_1390997943_STOP551,1,598.1,598.1,598.1,Gereja Santo Laurentius,Jalan Cipedes Atas,tertiary,-6.875897148391323,107.5906443243283,Sedang (400-800m)
5455661685_1654067462_STOP337,7,683.7714285714285,540.8,823.2,Karangsetra Waterland,Jalan Prof. Dr. Ir. Sutami,primary,-6.877755688570937,107.5892329669927,Sedang (400-800m)
5455661685_1654067462_STOP352,8,636.825,478.8,798.5,Setrasari,Jalan Prof. Dr. Ir. Sutami,primary,-6.878528283090675,107.58594497492739,Sedang (400-800m)
