tas_nit_id,sentiment_score,avg_rating,n_reviews_total,n_places,positive_ratio,negative_ratio,categories,street_name
12809283848_4375366198_STOP125,0.945,4.8,5,1,1.0,0.0,lainnya,Jalan Dr. Djunjunan
12809283848_4375366198_STOP15,0.9467,5.0,15,3,1.0,0.0,"komersial,katering,lainnya",Jalan Dr. Djunjunan
12809283848_4375366198_STOP378,0.8923,4.8,15,3,1.0,0.0,"lainnya,katering",Jalan Dr. Djunjunan
12809462426_1849960313_STOP502,0.9,5.0,5,1,1.0,0.0,lainnya,Jalan Sukabumi
12809507137_1896207944_STOP577,0.89,4.6,5,1,1.0,0.0,lainnya,Jalan Aceh
12809507137_6461589858_STOP61,0.8163,4.53,15,3,0.8667,0.0,"lainnya,kesehatan",Jalan Aceh
12813271261_12813271264_STOP116,0.9021,4.75,20,4,0.95,0.05,"finansial,komersial,kesehatan,lainnya",Jalan Marga Cinta
12813271261_12813271264_STOP807,0.4208,2.5,10,2,0.4,0.6,"kesehatan,komersial",Jalan Marga Cinta
12813271261_9626125965_STOP5,0.9433,5.0,5,1,1.0,0.0,lainnya,Jalan Marga Cinta
12813271264_12813271261_STOP116,0.72,4.2,5,1,0.8,0.2,lainnya,Jalan Marga Cinta
12813271264_12813271261_STOP520,0.7733,4.2,5,1,0.8,0.2,kesehatan,Jalan Marga Cinta
12813271264_12813271261_STOP807,0.745,4.4,5,1,0.8,0.2,komersial,Jalan Marga Cinta
12813271265_13141223516_STOP115,0.86,4.73,15,3,0.9333,0.0667,"kesehatan,lainnya",Jalan Derwati
12813271265_13141223516_STOP715,0.76,4.2,5,1,0.8,0.2,lainnya,Jalan Derwati
12816121757_28382767_STOP23,0.9,5.0,5,1,1.0,0.0,lainnya,Jalan Ir. H. Djuanda
12816121757_28382767_STOP24,1.0,5.0,5,1,1.0,0.0,katering,Jalan Ir. H. Djuanda
12816121757_28382767_STOP25,0.93,5.0,10,2,1.0,0.0,"lainnya,katering",Jalan Ir. H. Djuanda
12986852699_12806537959_STOP428,0.94,5.0,5,1,1.0,0.0,komersial,Jalan Palasari
12986852699_2607816746_STOP48,0.94,5.0,10,2,1.0,0.0,"komersial,lainnya",Jalan Palasari
12986852699_2607816746_STOP571,0.92,5.0,5,1,1.0,0.0,pendidikan,Jalan Palasari
12986852699_29434769_STOP48,0.88,5.0,5,1,1.0,0.0,lainnya,Jalan Lodaya
12986852699_29434769_STOP732,0.817,4.4,5,1,0.8,0.2,katering,Jalan Lodaya
12986852699_3272588432_STOP747,0.4683,3.2,5,1,0.4,0.4,lainnya,Jalan Lodaya
12986852699_3272588432_STOP749,0.96,5.0,5,1,1.0,0.0,lainnya,Jalan Lodaya
13010031522_29489287_STOP396,0.98,5.0,5,1,1.0,0.0,kesehatan,Jalan Kyai Haji Wahid Hasyim
13022549201_9762128207_STOP660,0.9333,5.0,5,1,1.0,0.0,lainnya,Jalan Sumbawa
13097895692_2019234455_STOP129,0.92,5.0,5,1,1.0,0.0,katering,"['Jalan Sariwangi', 'Jalan Perintis']"
13097895693_1575311287_STOP629,0.7317,4.13,15,3,0.8,0.2,"lainnya,komersial",Jalan Sariasih
13123360943_6442486339_STOP176,0.86,4.6,10,2,0.9,0.1,"komersial,katering",Jalan Abdul Rahman Saleh
13136294320_1655728948_STOP68,0.42,2.6,5,1,0.4,0.6,komersial,Jalan Dr. Setiabudi
13136294320_1676070938_STOP473,0.76,4.2,5,1,0.8,0.2,lainnya,Jalan Dr. Setiabudi
13141223516_12813271265_STOP114,0.88,5.0,5,1,1.0,0.0,komersial,Jalan Derwati
13141223516_12813271265_STOP115,0.65,3.6,20,4,0.65,0.3,"komersial,lainnya",Jalan Derwati
13141223516_12813271265_STOP521,0.72,4.2,5,1,0.8,0.2,finansial,Jalan Derwati
13141223516_12813271265_STOP715,0.8775,4.7,10,2,0.9,0.0,"rekreasi,katering",Jalan Derwati
13141223516_2518053983_STOP114,0.8967,4.87,15,3,1.0,0.0,"komersial,lainnya",Jalan Gedebage Selatan
13261248357_29376968_STOP12,0.895,4.8,5,1,1.0,0.0,lainnya,"['Jalan Kesatriaan', 'Jalan Bima']"
13261248357_29376968_STOP760,0.86,4.6,10,2,0.9,0.1,lainnya,"['Jalan Kesatriaan', 'Jalan Bima']"
13261248357_29376968_STOP761,0.6975,4.1,10,2,0.8,0.2,lainnya,"['Jalan Kesatriaan', 'Jalan Bima']"
13261248357_29376968_STOP762,0.77,4.6,5,1,0.8,0.0,lainnya,"['Jalan Kesatriaan', 'Jalan Bima']"
1342112672_312086542_STOP233,0.73,4.2,5,1,0.8,0.2,katering,Jalan Sangkuriang
1342112672_312086670_STOP233,0.87,4.6,5,1,1.0,0.0,lainnya,Jalan Sangkuriang
13539499879_10596847102_STOP261,0.94,5.0,10,2,1.0,0.0,lainnya,Jalan Sentra Raya Selatan
13539499879_10596847102_STOP388,0.9333,5.0,15,3,1.0,0.0,katering,Jalan Sentra Raya Selatan
14053088734_6715130339_STOP468,0.9,5.0,5,1,1.0,0.0,lainnya,Jalan Buah Batu
